time,pos_x,pos_y,pos_z,roll,pitch,yaw,vel_x,vel_y,vel_z,p,q,r,flap_angle,flap_rate,elevator,rudder,force_x,force_y,force_z,moment_x,moment_y,moment_z
0.0,2.4540836319320188e-39,0.0,2.0108711734293314e-06,3.2618900351915154e-08,3.615142814276561e-05,-3.3084231417495076e-09,2.4540836319320187e-36,0.0,0.0020108711734293312,3.261890035191515e-05,0.03615142814276561,-3.3084231417495076e-06,0.0,26.31894506957162,0.0,0.0,1.3571082484584064e-33,0.0,-4.3129182410935805,0.0,0.7805088140907053,0.0
0.001,3.840302039993154e-10,-2.543995926146439e-13,7.38002501206523e-06,9.2220728749202e-08,0.00010220839495339728,-9.354327388705862e-09,3.840302039993154e-07,-2.543995926146439e-10,0.005369153838635898,5.960182839728684e-05,0.06605696681063167,-6.045904246956354e-06,0.026316174409599786,26.310633264666407,0.0,0.0,5.645054897611544e-05,0.0,-3.567799682595776,-5.746283732684411e-09,0.6456601500889058,-2.919049184774117e-10
0.002,1.09083324525213e-09,-1.0934756994372553e-12,1.7463044153282896e-05,1.731344142264967e-07,0.00019188684465553621,-1.7564149714470976e-08,7.068030412528145e-07,-8.390761068226114e-10,0.010083019141217665,8.091368547729471e-05,0.08967844970213892,-8.209822325765115e-06,0.05261572695939737,26.285703099864907,0.0,0.0,-0.0001798474887097379,-1.0212085849362115e-13,-2.818162473364784,-2.1444973169136342e-08,0.5099874761960064,-1.0406524028529696e-09
0.003,1.6432151695340614e-09,-2.815158018685334e-12,3.361996438962368e-05,2.6967000121330424e-07,0.00029888232722811964,-2.7362761021249898e-08,5.523819242819313e-07,-1.7216823192480785e-09,0.016156920236340785,9.653558698680756e-05,0.10699548257258343,-9.798611306778921e-06,0.07888204628831348,26.244170321593543,0.0,0.0,-0.0006263286441989425,-6.248916365534267e-13,-2.0660626295742928,-4.5043571007055025e-08,0.37387449086012814,-2.0732780164531496e-09
0.004,1.2294742165868804e-09,-5.622623637536081e-12,5.721158617949424e-05,3.7613454004010947e-07,0.0004168874302703598,-3.8174608157942306e-08,-4.13740952947181e-07,-2.8074656188507475e-09,0.023591621789870558,0.00010646453882680523,0.1180051030422402,-1.0811847136692407e-05,0.10509854202608344,26.18606116284526,0.0,0.0,-0.0011997008653078516,-2.0484680070030222e-12,-1.3135398312752946,-7.455628579887003e-08,0.23769754779388938,-3.2261764540641313e-09
0.005,-1.1642651661351511e-09,-9.608389198241012e-12,8.95958145713586e-05,4.868476547310386e-07,0.0005396088749808972,-4.9424946766057825e-08,-2.3937393827220316e-06,-3.985765560704931e-09,0.03238422839186437,0.00011071311469092906,0.12272144471053734,-1.1250338608115521e-05,0.13124865527209065,26.111412326610196,0.0,0.0,-0.0018170099298143933,-4.8724724151256655e-12,-0.5626180506845864,-1.0811000063637128e-07,0.10182574893985195,-4.348015947520296e-09
0.006,-6.5726379917720245e-09,-1.4784946139207484e-11,0.0001321240493192433,5.961567013700857e-07,0.0006607841809732666,-6.054115791402355e-08,-5.408372825636873e-06,-5.1765569409664706e-09,0.0425282347478847,0.00010930904663904718,0.12117530599236943,-1.1116211147965725e-05,0.15731586905432304,26.020270962693303,0.0,0.0,-0.0023966781963493805,-9.49160379565174e-12,0.18470646714006864,-1.439539118134036e-07,-0.03338111257711243,-5.3006883245300945e-09
0.007,-1.582298170250613e-08,-2.1161364711357446e-11,0.0001861376446034724,6.984514449382691e-07,0.0007741978204930755,-7.095414125203478e-08,-9.250343710734107e-06,-6.376418572149963e-09,0.054013595284229096,0.00010229474356818339,0.11341363951980883,-1.0412983338011237e-05,0.18328371876184676,25.91269463793349,0.0,0.0,-0.002859502927444886,-1.618548515481508e-11,0.9264759233729689,-1.8046755530603703e-07,-0.16757426744173357,-5.9601197018063625e-09
0.008,-2.9263644328596766e-08,-2.8864695947153008e-11,0.00025296445885822843,7.881781823003073e-07,0.0008736967820352246,-8.009977574830854e-08,-1.3440662626090635e-05,-7.703331235795564e-09,0.06682681425475603,8.972673736203817e-05,0.0994989615421491,-9.145634496273762e-06,0.20913580254420727,25.788751299843213,0.0,0.0,-0.0031296041539790077,-2.5318715385039264e-11,1.6607822966663686,-2.1616721416932214e-07,-0.3004176973831952,-6.216931763179489e-09
0.009000000000000001,-4.645218327095552e-08,-3.830443677479958e-11,0.000333915510837055,8.598532611401155e-07,0.0009532054875802286,-8.7420439746489e-08,-1.7188538942358747e-05,-9.439740827646575e-09,0.08095105197882657,7.167507883980824e-05,0.079508705545004,-7.320663998180462e-06,0.23485579167118953,25.64851923369133,0.0,0.0,-0.003135312045819425,-3.784123460731005e-11,2.385776271506245,-2.4971072094282713e-07,-0.4315893394849176,-5.976945300604879e-09
